order_id,delivery_id,ship_date,scheduled_date,invoice_id,invoice_number,invoice_amount_residual,due_date,channel,payment_terms,invoice_move_id,payment_ids,total_paid,amount_residual
S04273,136696,2025-04-29 18:00:00,2025-04-29 18:00:00,,,,2025-05-29 18:00:00,Wholesale,Net 30,,[],0.0,32562.35
#TDY8V6UTJD,116005,2025-04-30 04:00:00,2025-04-30 04:00:00,,,,2025-05-30 04:00:00,Faire,30 Days,,[],0.0,272.52
#KAKPCWVB98,115819,2025-05-01 04:00:00,2025-05-01 04:00:00,,,,2025-05-31 04:00:00,Faire,30 Days,,[],0.0,902.74
S03969,128632,2025-05-01 16:00:00,2025-05-01 16:00:00,,,,2025-05-01 16:00:00,Wholesale,Due on Ship,,[],0.0,1163.46
S03884,123484,2025-05-01 16:00:00,2025-05-01 16:00:00,,,,2025-05-31 16:00:00,Wholesale,30 Days,,[],0.0,3052.5
S03546,132880,2025-05-01 18:00:00,2025-05-01 18:00:00,,,,2025-05-01 18:00:00,Wholesale,Due on Ship,,[],0.0,908.5
S03887,123487,2025-05-01 18:00:00,2025-05-01 18:00:00,,,,2025-05-31 18:00:00,Wholesale,30 Days,,[],0.0,3393.45
S03886,123486,2025-05-01 18:00:00,2025-05-01 18:00:00,,,,2025-05-31 18:00:00,Wholesale,30 Days,,[],0.0,1332.5
S03885,123485,2025-05-01 18:00:00,2025-05-01 18:00:00,,,,2025-05-31 18:00:00,Wholesale,30 Days,,[],0.0,2720.95
S03509,113947,2025-05-01 18:00:00,2025-05-01 18:00:00,,,,2025-05-31 18:00:00,Wholesale,30 Days,,[],0.0,3655.93
#MK8BBZXVSJ,116016,2025-05-01 18:47:27,2025-05-01 18:47:27,,,,2025-05-31 18:47:27,Faire,30 Days,,[],0.0,492.25
S03557,131219,2025-05-01 19:00:00,2025-05-01 19:00:00,,,,2025-05-31 19:00:00,Wholesale,30 Days,,[],0.0,657.0
S03557,115561,2025-05-01 19:00:00,2025-05-01 19:00:00,,,,2025-05-31 19:00:00,Wholesale,30 Days,,[],0.0,657.0
